date,open,high,low,close,adjusted_close,volume,warning,Stock
2025-04-09,61.0,64.0,61.0,62.0,62.0,774100.0,Data is limited by one year as you have free subscription,BATR
2025-04-09,15.0,15.0,14.0,15.0,15.0,1017700.0,Data is limited by one year as you have free subscription,BAUT
2025-04-09,1100.0,1150.0,1100.0,1115.0,1037.8374,99900.0,Data is limited by one year as you have free subscription,BAYU
2025-04-09,7700.0,7950.0,7675.0,7925.0,7542.7611,136753906.0,Data is limited by one year as you have free subscription,BBCA
2025-04-09,600.0,615.0,600.0,605.0,595.3738,259800.0,Data is limited by one year as you have free subscription,BBHI
2025-04-09,50.0,50.0,50.0,50.0,50.0,5886700.0,Data is limited by one year as you have free subscription,BBKP
2025-04-09,600.0,600.0,580.0,600.0,589.4891,22200.0,Data is limited by one year as you have free subscription,BBLD
2025-04-09,1850.0,1900.0,1850.0,1900.0,1870.1491,300.0,Data is limited by one year as you have free subscription,BBMD
2025-04-09,4030.0,4140.0,3970.0,4040.0,3387.1819,81414200.0,Data is limited by one year as you have free subscription,BBNI
2025-04-09,3610.0,3710.0,3600.0,3630.0,3306.5749,366649900.0,Data is limited by one year as you have free subscription,BBRI
2025-04-09,78.0,78.0,75.0,76.0,76.0,89200.0,Data is limited by one year as you have free subscription,BBRM
2025-04-09,3890.0,4020.0,3720.0,4020.0,4020.0,9600.0,Data is limited by one year as you have free subscription,BBSI
2025-04-09,212.0,222.0,212.0,212.0,212.0,616400.0,Data is limited by one year as you have free subscription,BBSS
2025-04-09,810.0,870.0,810.0,825.0,776.4334,42592500.0,Data is limited by one year as you have free subscription,BBTN
2025-04-09,160.0,163.0,153.0,156.0,156.0,10819900.0,Data is limited by one year as you have free subscription,BBYB
2025-04-09,50.0,50.0,50.0,50.0,50.0,60600.0,Data is limited by one year as you have free subscription,BCAP
2025-04-09,170.0,170.0,170.0,170.0,170.0,0.0,Data is limited by one year as you have free subscription,BCIC
2025-04-09,50.0,50.0,50.0,50.0,50.0,110200.0,Data is limited by one year as you have free subscription,BCIP
2025-04-09,105.0,114.0,101.0,108.0,107.2941,10421800.0,Data is limited by one year as you have free subscription,BDKR
2025-04-09,2340.0,2390.0,2320.0,2360.0,2246.15,3231200.0,Data is limited by one year as you have free subscription,BDMN
2025-04-09,5.0,5.0,5.0,5.0,5.0,0.0,Data is limited by one year as you have free subscription,BEBS
2025-04-09,199.9999,212.0,199.9999,208.0,184.0708,37148524.0,Data is limited by one year as you have free subscription,BEEF
2025-04-09,87.0,90.0,83.0,85.0,85.0,78500.0,Data is limited by one year as you have free subscription,BEER
2025-04-09,21.0,21.0,21.0,21.0,21.0,5817000.0,Data is limited by one year as you have free subscription,BEKS
2025-04-09,438.0,444.0,420.0,440.0,440.0,1504200.0,Data is limited by one year as you have free subscription,BELI
2025-04-09,52.0,53.0,52.0,52.0,51.323,162400.0,Data is limited by one year as you have free subscription,BELL
2025-04-09,710.0,750.0,605.0,625.0,625.0,411000.0,Data is limited by one year as you have free subscription,BESS
2025-04-09,77.0,79.0,76.0,79.0,79.0,7741600.0,Data is limited by one year as you have free subscription,BEST
2025-04-09,755.0,785.0,745.0,775.0,714.046,2948800.0,Data is limited by one year as you have free subscription,BFIN
2025-04-09,70.0,72.0,70.0,71.0,71.0,5366400.0,Data is limited by one year as you have free subscription,BGTG
2025-04-09,505.0,505.0,446.0,505.0,505.0,762800.0,Data is limited by one year as you have free subscription,BHAT
2025-04-09,22.0,22.0,22.0,22.0,22.0,6925100.0,Data is limited by one year as you have free subscription,BHIT
2025-04-09,55.0,55.0,55.0,55.0,55.0,0.0,Data is limited by one year as you have free subscription,BIKA
2025-04-09,540.0,555.0,540.0,545.0,531.0256,1137600.0,Data is limited by one year as you have free subscription,BIKE
2025-04-09,56.0,56.0,51.0,51.0,51.0,417100.0,Data is limited by one year as you have free subscription,BIMA
2025-04-09,4270.0,4300.0,4170.0,4300.0,4300.0,33300.0,Data is limited by one year as you have free subscription,BINA
2025-04-09,113.0,117.0,110.0,114.0,114.0,1195900.0,Data is limited by one year as you have free subscription,BINO
2025-04-09,76.0,78.0,73.0,73.0,73.0,378498000.0,Data is limited by one year as you have free subscription,BIPI
2025-04-09,30.0,30.0,30.0,30.0,30.0,10200.0,Data is limited by one year as you have free subscription,BIPP
2025-04-09,1415.0,1435.0,1385.0,1390.0,1303.5751,2278400.0,Data is limited by one year as you have free subscription,BIRD
2025-04-09,965.0,1010.0,960.0,965.0,937.4286,83900.0,Data is limited by one year as you have free subscription,BISI
2025-04-09,775.0,800.0,775.0,780.0,710.3717,5623200.0,Data is limited by one year as you have free subscription,BJBR
2025-04-09,470.0,480.0,466.0,478.0,431.3011,5570100.0,Data is limited by one year as you have free subscription,BJTM
2025-04-09,33.0,37.0,33.0,37.0,37.0,1374500.0,Data is limited by one year as you have free subscription,BKDP
2025-04-09,61.0,65.0,60.0,61.0,61.0,60662900.0,Data is limited by one year as you have free subscription,BKSL
2025-04-09,50.0,52.0,50.0,51.0,51.0,682500.0,Data is limited by one year as you have free subscription,BKSW
2025-04-09,164.0,172.0,160.0,169.0,165.7465,1898100.0,Data is limited by one year as you have free subscription,BLES
2025-04-09,20.0,20.0,19.0,19.0,19.0,3773900.0,Data is limited by one year as you have free subscription,BLTA
2025-04-09,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,Data is limited by one year as you have free subscription,BLTZ
2025-04-09,326.0,330.0,316.0,316.0,295.1149,29600.0,Data is limited by one year as you have free subscription,BLUE
2025-04-09,460.0,460.0,460.0,460.0,460.0,0.0,Data is limited by one year as you have free subscription,BMAS
2025-04-09,14.0,15.0,13.0,15.0,15.0,1353700.0,Data is limited by one year as you have free subscription,BMBL
2025-04-09,216.0,262.0,216.0,228.0,227.3825,1268300.0,Data is limited by one year as you have free subscription,BMHS
2025-04-09,4630.0,4790.0,4630.0,4710.0,4194.7232,316821100.0,Data is limited by one year as you have free subscription,BMRI
2025-04-09,260.0,292.0,260.0,266.0,266.0,60500.0,Data is limited by one year as you have free subscription,BMSR
2025-04-09,124.0,126.0,118.0,122.0,122.0,24898600.0,Data is limited by one year as you have free subscription,BMTR
2025-04-09,492.0,500.0,492.0,498.0,498.0,48800.0,Data is limited by one year as you have free subscription,BNBA
2025-04-09,28.0,28.0,27.0,27.0,27.0,4148800.0,Data is limited by one year as you have free subscription,BNBR
2025-04-09,1600.0,1645.0,1595.0,1630.0,1493.1591,5116600.0,Data is limited by one year as you have free subscription,BNGA
2025-04-09,179.0,182.0,178.0,181.0,175.5636,719400.0,Data is limited by one year as you have free subscription,BNII
2025-04-09,2290.0,2360.0,2240.0,2360.0,2327.0698,595600.0,Data is limited by one year as you have free subscription,BNLI
2025-04-09,95.0,97.0,85.0,88.0,88.0,5836600.0,Data is limited by one year as you have free subscription,BOAT
2025-04-09,143.0,155.0,143.0,152.0,145.7,12900.0,Data is limited by one year as you have free subscription,BOBA
2025-04-09,595.0,595.0,550.0,550.0,550.0,24433200.0,Data is limited by one year as you have free subscription,BOGA
2025-04-09,82.0,91.0,80.0,89.0,89.0,154400.0,Data is limited by one year as you have free subscription,BOLA
