symbol,company_name_th,sector,roe,pe_ratio,de_ratio
SANKO,บริษัท ซังโกะ ไดคาซติ้ง (ประเทศไทย) จำกัด (มหาชน),Consumer Cyclical,17.163,5.117647,27.448
CBG,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),Consumer Defensive,16.869,19.073277,17.888
MTC,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),Financial Services,16.835,11.601308,338.889
SPVI,บริษัท เอส พี วี ไอ จำกัด (มหาชน),Technology,16.830000000000002,11.619048,29.614
CPN,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),Real Estate,16.740999000000002,16.309525,97.834
BBIK,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),Industrials,16.736999,13.710691,2.801
SYNEX,บริษัท ซินเน็ค (ประเทศไทย) จำกัด (มหาชน),Technology,16.59,10.87912,154.081
TNP,บริษัท ธนพิริยะ จำกัด (มหาชน),Consumer Defensive,16.588,11.44,8.343
TEGH,บริษัท ไทยอีสเทิร์น กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),Basic Materials,16.564,5.54386,92.487
SPREME,บริษัท สุพรีม ดิสทิบิวชั่น จำกัด (มหาชน),Technology,16.543,7.227273,1.732
EURO,บริษัท ยูโร ครีเอชั่นส์ จำกัด (มหาชน),Consumer Cyclical,16.514999,9.375,42.13
LHSC,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ แอล เอช ช้อปปิ้ง เซ็นเตอร์,Real Estate,16.344998999999998,11.370968,32.292
PHOL,บริษัท ผลธัญญะ จำกัด (มหาชน),Industrials,16.318001,9.4375,18.681
NYT,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),Industrials,16.294000999999998,11.176471,79.684
CREDIT,ธนาคารไทยเครดิต จำกัด (มหาชน),Financial Services,16.284001,5.6748466,
KCG,บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน),Consumer Defensive,16.284001,11.279069,33.313
DITTO,บริษัท ดิทโต้ (ประเทศไทย) จำกัด (มหาชน),Technology,16.219,14.642858,0.658
METCO,บริษัทมูราโมโต้ อีเล็คตรอน (ประเทศไทย) จำกัด (มหาชน),Technology,15.705,5.1066217,1.908
TNR,บริษัท ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),Consumer Defensive,15.687999,8.088235,69.012
CPI,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),Consumer Defensive,15.665000000000001,4.864865,26.338
SCP,บริษัท ทักษิณคอนกรีต จำกัด (มหาชน),Basic Materials,15.517001,7.4796743,2.62
PATO,บริษัท พาโตเคมีอุตสาหกรรม จำกัด (มหาชน),Basic Materials,15.458,13.725491,0.066
TISCO,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),Financial Services,15.411,13.630953,
KISS,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),Consumer Defensive,15.340000000000002,13.538462,0.485
BDMS,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),Healthcare,15.302,20.384617,15.896
TIDLOR,บริษัท ติดล้อ โฮลดิ้งส์ จำกัด (มหาชน),Financial Services,15.274,11.411764,216.375
SPA,บริษัท สยามเวลเนสกรุ๊ป จำกัด (มหาชน),Consumer Cyclical,15.212,20.666666,78.255
TEAMG,บริษัท ทีม คอนซัลติ้ง เอนจิเนียริ่ง แอนด์ แมเนจเมนท์ จำกัด (มหาชน),Industrials,15.156998999999999,12.96,32.116
TPAC,บริษัท พลาสติค และหีบห่อไทย จำกัด (มหาชน),Consumer Cyclical,15.145000999999999,7.5609756,101.651
MBK,บริษัท เอ็ม บี เค จำกัด (มหาชน),Industrials,15.131,8.445378,117.864
IND,บริษัท อินเด็กซ์ อินเตอร์เนชั่นแนล กรุ๊ป จำกัด (มหาชน),Industrials,15.081,4.0689654,4.192
MGT,บริษัท เมกาเคม (ประเทศไทย) จำกัด (มหาชน),Basic Materials,15.048,7.5,16.867
DV8,บริษัท ดีวี8 จำกัด (มหาชน),Communication Services,14.979000000000001,44.8,0.955
SNPS,บริษัท สเปเชี่ยลตี้ เนเชอรัล โปรดักส์ จำกัด (มหาชน),Consumer Defensive,14.960999999999999,19.04,0.364
FTE,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน),Industrials,14.926,9.5,10.536
AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),Consumer Defensive,14.901,10.578947,3.654
TEAM,บริษัท ทีมพรีซิชั่น จำกัด (มหาชน),Technology,14.849,8.645162,0.038
AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),Real Estate,14.846,6.985294,70.41
PROEN,บริษัท โปรเอ็น คอร์ป จำกัด (มหาชน),Communication Services,14.835999999999999,4.5833335,63.852
ICN,บริษัท อินฟอร์เมชั่น แอนด์ คอมมิวนิเคชั่น เน็ทเวิร์คส จำกัด (มหาชน),Communication Services,14.829001,9.1,33.816
AIT,บริษัท แอ็ดวานซ์อินฟอร์เมชั่นเทคโนโลยี จำกัด (มหาชน),Technology,14.738000000000001,13.052631,8.992
CPW,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน),Technology,14.681,12.666666,130.365
ETC,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),Utilities,14.671999,2.9523811,19.265
PHG,บริษัท แพทย์รังสิตเฮลท์แคร์กรุ๊ป จำกัด (มหาชน),Healthcare,14.663,12.843138,0.339
TMW,บริษัท ไทยมิตซูวา จำกัด (มหาชน),Basic Materials,14.626999,4.577728,1.603
AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),Industrials,14.577000000000002,5.5625,6.023
MEDEZE,บริษัท เมดีซ กรุ๊ป จำกัด (มหาชน),Healthcare,14.565,36.38889,0.731
PR9,บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน),Healthcare,14.543000000000001,18.076923,0.272
HTC,บริษัท หาดทิพย์ จำกัด (มหาชน),Consumer Defensive,14.452000000000002,10.89041,38.147
LTS,บริษัท ไลท์อัพ โทเทิล โซลูชั่น จำกัด (มหาชน),Consumer Cyclical,14.417,7.6129026,18.83
FPI,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),Consumer Cyclical,14.333999,7.7826085,39.225
TVH,บริษัท ไทยวิวัฒน์ โฮลดิ้งส์ จำกัด (มหาชน),Financial Services,14.293,6.7857146,0.176
NOBLE,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),Real Estate,14.216000000000001,3.7101448,205.496
PCC,บริษัท พรีไซซ คอร์ปอเรชั่น จำกัด (มหาชน),Industrials,14.181,6.923077,17.663
GABLE,บริษัท จีเอเบิล จำกัด (มหาชน),Technology,14.175001000000002,9.571429,4.41
CMAN,บริษัท เคมีแมน จำกัด (มหาชน),Basic Materials,14.166,6.736842,101.674
WASH,บริษัท ลอนดรี้ ยู จำกัด (มหาชน),Industrials,14.16,17.741936,131.443
ATLAS,บริษัท แอตลาส เอ็นเนอยี จำกัด (มหาชน),Energy,14.084,9.789474,171.076
ALUCON,บริษัท อลูคอน จำกัด (มหาชน),Basic Materials,13.962,9.016394,
TOG,บริษัท ไทยออพติคอล กรุ๊ป จำกัด (มหาชน),Healthcare,13.938,10.0,62.08
SCL,บริษัท เอส.ซี.แอล.มอเตอร์ พาร์ท จำกัด (มหาชน),Consumer Cyclical,13.913,6.75,117.516
SAWAD,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),Financial Services,13.828,9.375,156.86
WHA,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน),Real Estate,13.713999,12.909091,122.675
TSTH,บริษัท ทาทา สตีล (ประเทศไทย) จำกัด (มหาชน),Basic Materials,13.686000000000002,3.6000001,4.022
PACO,บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด (มหาชน),Consumer Cyclical,13.677,9.142857,15.184
SKN,บริษัท ส.กิจชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),Basic Materials,13.649000000000001,9.507043,12.24
IT,บริษัท ไอที ซิตี้ จำกัด (มหาชน),Technology,13.622,8.510638,136.934
TIPH,บริษัท ทิพย กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),Financial Services,13.594999999999999,9.904762,15.364
PRTR,บริษัท พีอาร์ทีอาร์ กรุ๊ป จำกัด (มหาชน),Industrials,13.503000000000002,8.9743595,1.146
BLA,บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน),Financial Services,13.497,5.171569,
SKY,บริษัท สกาย ไอซีที จำกัด (มหาชน),Technology,13.479,14.947369,81.168
PDG,บริษัท พรอดดิจิ จำกัด (มหาชน),Consumer Cyclical,13.358,10.4827585,
ASW,บริษัท แอสเซทไวส์ จำกัด (มหาชน),Real Estate,13.267000000000001,8.526317,162.056
SAK,บริษัท ศักดิ์สยามลิสซิ่ง จำกัด (มหาชน),Financial Services,13.252,8.714286,122.844
AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),Industrials,13.235,42.479675,32.854
GUNKUL,บริษัท กันกุลเอ็นจิเนียริ่ง จำกัด (มหาชน),Utilities,13.205,11.047619,98.134
DRT,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Industrials,12.985,12.666667,46.316
MOTHER,บริษัท มาเธอร์ มาร์เก็ตติ้ง จำกัด (มหาชน),Consumer Cyclical,12.887,17.142859,41.443
PROSPECT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ พรอสเพค โลจิสติกส์และอินดัสเทรียล,Real Estate,12.873999999999999,10.873015,73.712
ASIMAR,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),Industrials,12.826,6.9565215,52.662
UPOIC,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),Consumer Defensive,12.823,12.129629,8.433
SUN,บริษัท ซันสวีท จำกัด (มหาชน),Consumer Defensive,12.812999999999999,12.0,30.883
DCC,บริษัท ไดนาสตี้เซรามิค จำกัด (มหาชน),Industrials,12.745999999999999,12.3,34.36
KGI,บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน),Financial Services,12.659,9.061224,34.012
DMT,บริษัท ทางยกระดับดอนเมือง จำกัด (มหาชน),Industrials,12.638,14.23077,0.471
MAJOR,บริษัท เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),Communication Services,12.611,9.345239,107.733
KBS,บริษัท น้ำตาลครบุรี จำกัด (มหาชน),Consumer Defensive,12.590000000000002,5.882353,67.583
KCC,บริษัท ไนท คลับ แคปปิตอล โฮลดิ้ง จำกัด (มหาชน),Financial Services,12.479,9.44,93.135
MASTEC,บริษัท แมสเทค ลิ้งค์ จำกัด (มหาชน),Industrials,12.477,8.0625,106.833
ITC,บริษัท ไอ-เทล คอร์ปอเรชั่น จำกัด (มหาชน),Consumer Defensive,12.417,16.363638,0.217
TRUE,บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),Communication Services,12.203,,577.067
PRI,บริษัท พรีโม เซอร์วิส โซลูชั่น จำกัด (มหาชน),Real Estate,12.177,7.118644,3.898
