symbol,company_name,industry_group,sector,market_cap,beta,current_price,dividend_yield
POPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,3323309312.0,,6.9,
PHG,บริษัท แพทย์รังสิตเฮลท์แคร์กรุ๊ป จำกัด (มหาชน),Medical Care Facilities,Healthcare,3930000128.0,0.331,13.1,5.22
QHBREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ ควอลิตี้ เฮ้าส์ บิสซิเนส คอมเพล็กซ์,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,2885139968.0,,3.62,
QHHRREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า ควอลิตี้ เฮ้าส์ โฮเทล แอนด์ เรซิเดนซ์,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,2402400000.0,,7.15,
QHOP,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ ฮอสพิทอลลิตี้,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,520336000.0,,2.72,
PSL,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),Marine Shipping,Industrials,12174576640.0,0.665,8.2,5.16
SIRIPRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์สิริภิญโญ,REIT - Office,Real Estate,1258000000.0,,7.4,4.73
SMART,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),อสังหาริมทรัพย์และก่อสร้าง,N/A,666604800.0,,0.64,
SMO,บริษัท กลุ่มสมอทอง จำกัด (มหาชน),Farm Products,Consumer Defensive,3440800000.0,,3.74,9.21
SEAFCO,บริษัท ซีฟโก้ จำกัด (มหาชน),Engineering & Construction,Industrials,2023516800.0,,2.56,4.58
SSPF,กองทุนรวมอสังหาริมทรัพย์ศาลาแอทสาทร,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,544419968.0,,3.26,
SOLAR,บริษัท โซลาร์ตรอน จำกัด (มหาชน),Solar,Technology,222210528.0,0.036,0.17,
TAPAC,บริษัท ทาพาโก้ จำกัด (มหาชน),อสังหาริมทรัพย์และก่อสร้าง,N/A,222406736.0,,0.54,
STELLA,บริษัท สเตลล่า เอ็กซ์ จำกัด (มหาชน),Real Estate - Development,Real Estate,3049653504.0,0.506,0.14,
TIF1,กองทุนรวมอสังหาริมทรัพย์ไทยอินดัสเตรียล 1,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,684000000.0,,7.6,
TLHPF,กองทุนรวมอสังหาริมทรัพย์ ไทยแลนด์ โฮสพีทาลิตี้,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,860000000.0,,5.0,
TNPF,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าตรีนิตี้,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,153755696.0,,1.05,
TSR,บริษัท ทีเอสอาร์ ลิฟวิ่ง โซลูชั่น จำกัด (มหาชน),สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,84610192.0,,0.14,
TTLPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ตลาดไท,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,1755000064.0,,9.75,
TURBO,บริษัท เงินเทอร์โบ จำกัด (มหาชน),Financial Conglomerates,Financial Services,4539000320.0,,1.7,
ZAA,บริษัท ซาเล็คต้า จำกัด (มหาชน),Entertainment,Communication Services,975089408.0,-0.197,1.5,
YGG,บริษัท อิ๊กดราซิล กรุ๊ป จำกัด (มหาชน),Entertainment,Communication Services,132439376.0,-0.301,0.22,
YONG,บริษัท ยงคอนกรีต จำกัด (มหาชน),Building Materials,Basic Materials,516800000.0,0.668,0.76,3.85
YUASA,บริษัท ยัวซ่าแบตเตอรี่ ประเทศไทย จำกัด (มหาชน),Auto Parts,Consumer Cyclical,1582087424.0,0.127,14.7,6.02
ZEN,บริษัท เซ็น คอร์ปอเรชั่น กรุ๊ป จำกัด (มหาชน),Restaurants,Consumer Cyclical,1729470208.0,0.306,5.8,1.68
2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),Steel,Basic Materials,1429989504.0,0.314,2.6,9.02
88TH,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),Household & Personal Products,Consumer Defensive,1083750016.0,,5.1,
A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),Real Estate - Development,Real Estate,4743200256.0,0.068,4.84,
A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),Real Estate - Development,Real Estate,2155740160.0,0.208,1.83,2.73
AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),Packaged Foods,Consumer Defensive,8520248320.0,-0.014,4.02,6.46
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),Airlines,Industrials,15548499968.0,,1.21,
ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),Utilities - Renewable,Utilities,422193472.0,,0.61,
ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),Conglomerates,Industrials,789740224.0,0.596,0.42,
ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),Utilities - Renewable,Utilities,12480957440.0,0.055,1.28,
ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),Auto & Truck Dealerships,Consumer Cyclical,390000000.0,0.782,0.65,6.35
ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),Specialty Chemicals,Basic Materials,421079936.0,0.07,0.58,5.0
ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),Advertising Agencies,Communication Services,678720000.0,,4.04,9.66
ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),Telecom Services,Communication Services,1112354455552.0,0.07,374.0,4.43
ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),Electronics & Computer Distribution,Technology,3533999872.0,-0.576,5.7,6.09
AE,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),Specialty Retail,Consumer Cyclical,462876480.0,-0.199,0.09,
AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),Credit Services,Financial Services,23905376256.0,0.143,96.5,5.61
AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),Credit Services,Financial Services,576000000.0,-0.337,0.36,4.76
AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),Textile Manufacturing,Consumer Cyclical,147660608.0,0.429,3.24,
AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),Thermal Coal,Energy,1352071424.0,0.003,1.13,
AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),Auto Parts,Consumer Cyclical,4906876416.0,0.25,14.6,6.44
AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),Medical Care Facilities,Healthcare,2023775104.0,0.102,13.5,3.82
AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),Electrical Equipment & Parts,Industrials,2141997056.0,0.238,3.06,12.66
AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),Farm Products,Consumer Defensive,1480894976.0,-0.551,1.07,4.59
AIMCG,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,REIT - Retail,Real Estate,394560000.0,,1.37,17.52
AIMIRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,REIT - Industrial,Real Estate,9023100928.0,0.103,11.4,7.19
AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),Capital Markets,Financial Services,7135812608.0,0.167,1.13,
AIT,บริษัท แอ็ดวานซ์อินฟอร์เมชั่นเทคโนโลยี จำกัด (มหาชน),Information Technology Services,Technology,7620621312.0,0.474,4.96,7.23
AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),Packaging & Containers,Consumer Cyclical,972292032.0,0.401,1.63,
ARROW,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),Building Products & Equipment,Industrials,1374398336.0,0.199,5.35,7.27
AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),Electronics & Computer Distribution,Technology,965617152.0,0.42,0.18,
AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),Waste Management,Industrials,286840000.0,0.922,0.71,6.3
NAM,บริษัท นำวิวัฒน์ เมดิคอล คอร์ปอเรชั่น จำกัด (มหาชน),Medical Devices,Healthcare,2604000000.0,0.36,3.72,6.51
AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),Electrical Equipment & Parts,Industrials,1309988992.0,0.039,0.89,7.14
AKS,บริษัท เอเคเอส คอร์ปอเรชั่น จำกัด (มหาชน),Real Estate - Development,Real Estate,81465992.0,-0.593,0.02,
